GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC48,HC01_VC92,HC03_VC92,HC01_VC93,HC03_VC93
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Estimate; RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
8600000US01103,1103,ZCTA5 01103,2409,2409,2409,2409,1534,63.7
8600000US01104,1104,ZCTA5 01104,23635,23635,23635,23635,14100,59.7
8600000US01105,1105,ZCTA5 01105,11601,11601,11601,11601,7314,63
8600000US01106,1106,ZCTA5 01106,16048,16048,16048,16048,727,4.5
8600000US01107,1107,ZCTA5 01107,11304,11304,11304,11304,8817,78
8600000US01108,1108,ZCTA5 01108,28925,28925,28925,28925,12562,43.4
8600000US01109,1109,ZCTA5 01109,30125,30125,30125,30125,11789,39.1
8600000US01118,1118,ZCTA5 01118,14774,14774,14774,14774,3324,22.5
8600000US01119,1119,ZCTA5 01119,13236,13236,13236,13236,3405,25.7
8600000US01128,1128,ZCTA5 01128,2798,2798,2798,2798,367,13.1
8600000US01129,1129,ZCTA5 01129,6750,6750,6750,6750,1148,17
8600000US01151,1151,ZCTA5 01151,8884,8884,8884,8884,3388,38.1
8600000US01199,1199,ZCTA5 01199,0,0,0,0,0,-
8600000US01201,1201,ZCTA5 01201,44775,44775,44775,44775,2634,5.9
8600000US01220,1220,ZCTA5 01220,8211,8211,8211,8211,77,0.9
8600000US01222,1222,ZCTA5 01222,818,818,818,818,5,0.6
8600000US01223,1223,ZCTA5 01223,2351,2351,2351,2351,82,3.5
8600000US01224,1224,ZCTA5 01224,209,209,209,209,0,0
8600000US01225,1225,ZCTA5 01225,3169,3169,3169,3169,44,1.4
8600000US01226,1226,ZCTA5 01226,6839,6839,6839,6839,132,1.9
8600000US01229,1229,ZCTA5 01229,86,86,86,86,8,9.3
8600000US01230,1230,ZCTA5 01230,8359,8359,8359,8359,837,10
8600000US01235,1235,ZCTA5 01235,2671,2671,2671,2671,20,0.7
